iter	Passed	Remaining
795	3089	791
796	3091	787
797	3093	783
798	3096	778
799	3098	774
800	3100	770
801	3102	766
802	3105	761
803	3107	757
804	3109	753
805	3111	748
806	3113	744
807	3116	740
808	3118	736
809	3120	731
810	3122	727
811	3124	723
812	3127	719
813	3129	715
814	3131	710
815	3134	706
816	3136	702
817	3138	698
818	3140	694
819	3142	689
820	3145	685
821	3147	681
822	3149	677
823	3151	673
824	3154	669
825	3156	664
826	3158	660
827	3160	656
828	3163	652
829	3165	648
830	3167	644
831	3169	640
832	3171	635
833	3174	631
834	3176	627
835	3178	623
836	3180	619
837	3182	615
838	3184	611
839	3187	607
840	3191	603
841	3193	599
842	3195	595
843	3198	591
844	3200	587
845	3203	583
846	3205	579
847	3208	575
848	3211	571
849	3216	567
850	3218	563
851	3221	559
852	3224	555
853	3226	551
854	3229	547
855	3231	543
856	3234	539
857	3236	535
858	3239	531
859	3241	527
860	3244	523
861	3247	519
862	3249	515
863	3252	511
864	3254	507
865	3257	504
866	3260	500
867	3262	496
868	3265	492
869	3267	488
870	3270	484
871	3273	480
872	3275	476
873	3278	472
874	3280	468
875	3283	464
876	3286	460
877	3288	456
878	3291	453
879	3293	449
880	3296	445
881	3298	441
882	3301	437
883	3304	433
884	3306	429
885	3309	425
886	3312	421
887	3314	418
888	3317	414
889	3319	410
890	3322	406
891	3325	402
892	3328	398
893	3331	395
894	3335	391
895	3338	387
896	3341	383
897	3344	379
898	3347	376
899	3350	372
900	3353	368
901	3356	364
902	3359	360
903	3362	357
904	3366	353
905	3369	349
906	3372	345
907	3374	341
908	3377	338
909	3380	334
910	3383	330
911	3386	326
912	3390	323
913	3393	319
914	3396	315
915	3399	311
916	3402	308
917	3406	304
918	3409	300
919	3412	296
920	3415	292
921	3418	289
922	3421	285
923	3425	281
924	3428	277
925	3432	274
926	3435	270
927	3438	266
928	3441	263
929	3444	259
930	3447	255
931	3450	251
932	3453	248
933	3456	244
934	3460	240
935	3463	236
936	3467	233
937	3470	229
938	3474	225
939	3477	221
940	3481	218
941	3484	214
942	3488	210
943	3493	207
944	3497	203
945	3501	199
946	3505	196
947	3508	192
948	3512	188
949	3515	185
950	3519	181
951	3523	177
952	3526	173
953	3529	170
954	3533	166
955	3537	162
956	3542	159
957	3546	155
958	3550	151
959	3554	148
960	3558	144
961	3562	140
962	3566	137
963	3570	133
964	3574	129
965	3578	125
966	3582	122
967	3587	118
968	3591	114
969	3595	111
970	3599	107
971	3602	103
972	3606	100
973	3610	96
974	3613	92
975	3617	88
976	3620	85
977	3624	81
978	3627	77
979	3631	74
980	3634	70
981	3638	66
982	3641	62
983	3645	59
984	3649	55
985	3652	51
986	3656	48
987	3659	44
988	3663	40
989	3667	37
990	3670	33
991	3674	29
992	3678	25
993	3681	22
994	3685	18
995	3688	14
996	3692	11
997	3696	7
998	3699	3
999	3703	0
